metric,0,1,2,3,4,5,6,7,8,9
solved_rate:BipedalWalker-v3,0.98,0.99,0.61,0.9,0.96,0.93,0.56,0.52,0.92,0.99
test_returns:BipedalWalker-v3,289.99695,316.04697,220.92487,275.79492,292.25632,275.10806,210.82262,195.55923,289.37106,301.99722
solved_rate:BipedalWalkerHardcore-v3,0.05,0.02,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.03
test_returns:BipedalWalkerHardcore-v3,31.509563,15.912258,12.04078,22.76723,12.86521,0.85238546,-6.6828547,7.4713225,13.153952,32.521927
solved_rate:BipedalWalker-Med-Stairs-v0,0.0,0.03,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0
test_returns:BipedalWalker-Med-Stairs-v0,4.9630337,22.141024,27.704624,15.7628145,8.896893,35.58733,4.839648,4.295762,26.174736,35.304737
solved_rate:BipedalWalker-Med-PitGap-v0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
test_returns:BipedalWalker-Med-PitGap-v0,33.45967,12.783421,4.5032244,13.338895,1.7700914,4.3472066,32.661312,0.42597032,10.270156,10.326838
solved_rate:BipedalWalker-Med-StumpHeight-v0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_returns:BipedalWalker-Med-StumpHeight-v0,-24.338064,14.381452,-26.04882,-17.28644,-7.017229,-17.873533,-5.505177,-8.824843,-13.1978245,2.156191
solved_rate:BipedalWalker-Med-Roughness-v0,0.04,0.09,0.01,0.04,0.03,0.05,0.01,0.0,0.0,0.06
test_returns:BipedalWalker-Med-Roughness-v0,53.85924,84.444695,50.7006,43.54947,48.744473,66.536476,28.320965,27.468279,34.667076,79.21707
