metric,0,1,2,3,4,5,6,7,8,9
solved_rate:BipedalWalker-v3,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,1.0
test_returns:BipedalWalker-v3,315.3163,316.78766,318.58243,318.8627,318.19052,319.4878,313.88928,321.9186,314.04202,322.4036
solved_rate:BipedalWalkerHardcore-v3,0.63,0.8,0.65,0.69,0.52,0.66,0.69,0.7,0.59,0.36
test_returns:BipedalWalkerHardcore-v3,217.07745,260.38327,212.40038,227.59473,180.35374,225.9126,223.72824,234.28839,187.7514,138.90538
solved_rate:BipedalWalker-Med-Stairs-v0,0.17,0.22,0.23,0.23,0.16,0.2,0.34,0.31,0.09,0.11
test_returns:BipedalWalker-Med-Stairs-v0,70.639496,90.354645,110.94406,101.57375,75.07367,110.228714,130.88817,128.32156,35.773674,62.255493
solved_rate:BipedalWalker-Med-PitGap-v0,0.8,0.31,0.45,0.17,0.36,0.43,0.14,0.26,0.13,0.05
test_returns:BipedalWalker-Med-PitGap-v0,252.2409,130.65936,172.59564,63.69883,144.07634,163.2043,62.41309,95.878815,45.221992,-10.318992
solved_rate:BipedalWalker-Med-StumpHeight-v0,0.56,0.73,0.27,0.44,0.51,0.64,0.43,0.57,0.58,0.18
test_returns:BipedalWalker-Med-StumpHeight-v0,183.97482,227.05049,101.079445,140.1711,161.73555,209.6158,143.29854,191.67778,199.58943,99.36412
solved_rate:BipedalWalker-Med-Roughness-v0,0.77,0.94,0.86,0.85,0.83,0.9,0.7,0.77,0.43,0.59
test_returns:BipedalWalker-Med-Roughness-v0,249.0286,297.12222,279.23477,279.71542,274.52313,292.3984,227.1685,255.73463,165.51683,212.1744
