metric,0,1,2,3,4,5,6,7,8,9
solved_rate:BipedalWalker-v3,1.0,0.99,0.97,0.99,0.99,0.99,1.0,1.0,0.99,1.0
test_returns:BipedalWalker-v3,312.5679,293.23566,296.43512,302.5239,308.08167,297.04037,306.9219,311.28607,313.47546,306.0617
solved_rate:BipedalWalkerHardcore-v3,0.08,0.02,0.02,0.06,0.05,0.18,0.43,0.2,0.16,0.38
test_returns:BipedalWalkerHardcore-v3,66.141716,45.448578,36.1598,74.156265,58.282402,70.94897,162.07516,104.42578,88.65789,141.22919
solved_rate:BipedalWalker-Med-Stairs-v0,0.04,0.02,0.01,0.01,0.06,0.09,0.07,0.09,0.02,0.04
test_returns:BipedalWalker-Med-Stairs-v0,39.774822,44.042065,23.717495,61.181175,56.648006,52.00049,60.855938,75.018814,35.21229,61.27081
solved_rate:BipedalWalker-Med-PitGap-v0,0.13,0.0,0.0,0.0,0.04,0.18,0.0,0.0,0.01,0.04
test_returns:BipedalWalker-Med-PitGap-v0,97.22415,10.12874,-5.582622,22.005213,67.35274,100.90088,33.19014,21.858427,33.204967,52.927895
solved_rate:BipedalWalker-Med-StumpHeight-v0,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
test_returns:BipedalWalker-Med-StumpHeight-v0,22.2026,7.9788733,-14.417053,4.7065077,-10.612149,-22.49627,30.707016,11.871969,17.323662,18.220787
solved_rate:BipedalWalker-Med-Roughness-v0,0.13,0.15,0.05,0.13,0.21,0.26,0.42,0.4,0.14,0.55
test_returns:BipedalWalker-Med-Roughness-v0,97.79983,121.61899,74.3692,99.92725,132.16223,120.32138,173.31618,169.1424,98.813034,209.03813
