metric,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
test_returns:CarRacingF1-Belgium-v0,83.246254,288.48846,124.25449,104.25042,99.0494,139.85762,122.05404,140.2577,105.25068,154.86064,-120.39426,-120.194214,-120.194214,-120.794334,-119.99417,-120.39426,-119.99417,-120.194214,-120.794334,-120.39426,214.47269,203.27065,305.2921,136.05685,161.46199,141.85797,126.254875,199.87004,121.25385,221.67473,141.45792,407.5124,389.70883,59.441483,114.85256,212.47221,189.86815,395.71,124.6545,82.24604,-52.98058,23.434546,86.84707,81.046,83.84643,-66.58331,-116.1934,89.64775,26.435133,127.05518,101.65009,-132.99681,124.254616,-115.59327,-115.993355,-118.59389,-121.19441,-114.59307,-135.3973,-118.993965,-138.3979,-112.39261,-139.19807,-138.99803,-120.39426,-138.59795,-132.59673,-136.59755,-138.59795,-122.5947,-126.995605,-122.5947,-126.79555,-119.99413,-126.795555,-125.59531,-125.79536,-123.39486,-126.995605,-127.59572,417.71347,425.31485,354.90088,444.9189,-105.591225,433.31638,269.2845,459.922,318.29352,99.64959,362.9025,432.5164,440.5178,437.1172,412.71252,390.70804,394.7088,-124.995186,-124.395065,407.71143
test_returns:CarRacingF1-Brazil-v0,105.654045,62.451927,-54.37097,59.051266,55.850735,73.254135,25.844788,47.249027,29.445496,57.451008,70.56838,176.27524,378.51562,174.27477,169.47351,166.67302,173.87466,78.055115,397.9198,145.26863,146.46901,74.25444,266.8941,174.8753,34.04647,129.66559,74.05437,342.30865,76.0548,289.29834,-53.57085,-46.969555,56.050667,69.853424,-13.963069,-45.96933,65.85268,75.2545,25.44466,-48.16978,137.46758,59.451878,79.05582,158.8719,49.64982,52.65048,120.46419,142.6686,113.46281,115.26304,-112.58265,10.6421175,57.851334,162.07204,3.8405993,-3.360728,-75.375046,-167.39383,164.67287,66.653,-188.19806,-184.19725,-188.19806,-188.19806,-183.79716,-186.19765,-183.79716,-183.39711,-188.19806,-187.99802,-164.39325,-176.79579,-180.79655,-154.59122,-175.79558,-125.58513,-169.5943,-179.79636,-136.98749,-146.98961,281.09598,60.251698,160.07169,214.88284,248.08946,267.49332,139.06754,51.44992,244.48872,253.8907,444.1287,423.92487,447.32947,441.3279,447.3293,448.32935,310.9023,445.3289,435.52725,61.251785
test_returns:CarRacingF1-Mexico-v0,138.48872,-4.741607,54.070805,42.668423,159.09329,2.2598026,43.26853,7.0607796,-1.941064,0.4594242,161.0856,238.80528,-31.668728,92.27876,218.70616,198.50165,216.70584,201.90253,88.67789,200.7023,-12.743119,-13.3431835,36.466824,10.0614395,75.07518,4.660306,-4.7415004,61.072067,114.48384,-7.942142,60.87172,277.7185,-11.943043,198.70203,-22.14504,138.88899,10.261513,187.09746,28.265263,48.6696,-130.18379,-224.48444,-294.4829,-239.18843,-47.3495,-137.16762,-212.98308,93.87839,-199.98042,199.09975,-228.58627,-161.9728,-205.1815,-231.78693,-236.18782,-103.360985,10.461598,-186.3777,41.26766,-96.75968,-283.79703,-283.19693,-284.39713,-282.19672,-280.59644,-282.39676,-284.99725,-282.39676,-280.9965,-282.5968,-245.18968,-278.39603,-274.19522,-259.99268,-221.98497,-216.78375,-249.19054,-273.9952,-263.19324,-225.98566,716.90106,390.7393,186.69868,521.9642,146.08972,692.19904,186.29865,372.33392,130.08562,696.40076,788.59985,787.4998,786.49994,782.8,693.8004,698.201,698.8007,699.0011,699.80133,699.80115
test_returns:CarRacingF1-Australia-v0,79.34581,163.66234,97.6491,54.040413,81.04577,50.23971,35.83684,92.44805,75.64468,128.65533,-45.678383,-45.978348,-45.078033,-48.878067,91.95004,-53.77833,77.74835,-48.678192,34.037865,-47.67816,293.88907,78.445244,53.440304,7.431277,-37.57755,86.44688,64.0424,-36.177273,260.08307,85.84675,377.90677,106.85093,106.85096,426.91653,121.45391,114.85259,107.25103,371.70462,697.9699,248.08072,-35.777122,103.650566,-31.17619,-41.37824,80.645966,5.4311337,66.44319,-20.574081,-48.179596,26.635275,-56.58125,356.70126,-87.387505,-43.578705,-47.77948,-52.58046,-67.98353,-39.177765,-99.38995,-129.79616,-132.39668,-131.9966,-132.59673,-117.393654,-124.59511,-130.79636,-132.99681,-128.19583,-120.99437,-134.99722,-94.388985,-112.39262,-94.38899,-105.99132,-87.18751,-101.79049,-101.3904,-102.39051,-106.79149,-103.59085,584.14703,97.44923,330.29608,449.31995,578.54596,-50.58004,446.91995,380.1068,491.52856,565.5433,430.7166,500.73044,421.915,415.11365,430.7168,430.31674,431.11685,429.71667,430.9169,429.91666
test_returns:CarRacingF1-Austria-v0,195.26944,-62.18235,106.450935,256.68243,271.48505,165.66287,120.85378,129.25546,200.0705,133.05623,-101.89327,-99.29263,-99.99255,-99.39279,-99.192795,-98.385124,229.29018,277.68652,-114.793106,-115.59327,-105.79127,-113.59286,-113.7929,-72.1844,39.437748,-112.59266,-113.992935,-114.19298,28.235502,17.43345,59.641506,303.8919,210.87274,314.09393,117.45306,289.28925,206.07175,300.69156,296.6906,242.8797,135.457,-102.790665,27.23548,-71.18421,-115.1932,218.27359,169.86395,119.6539,-64.182785,175.66505,-114.39303,-54.780903,-81.58633,-117.39364,-77.18543,-60.382008,-120.794334,-118.393845,-122.594696,-113.79291,-136.99762,-138.99803,-139.19807,-133.79697,-136.79758,-138.99803,-140.39832,-139.19807,-140.19827,-139.19807,-125.99539,-129.59612,-122.19463,-129.39607,-133.59692,-131.79655,-129.39607,-130.39627,-129.39607,-119.79413,504.33075,502.33026,233.47708,503.53073,510.53204,151.66003,464.72278,497.5294,511.13208,501.73035,506.33176,525.7354,488.3279,504.3312,504.13123,505.53146,528.73584,555.3413,543.5389,449.92035
test_returns:CarRacingF1-Portugal-v0,-25.155457,101.26968,-42.558834,-65.76335,-37.557835,-34.157185,-42.758846,-43.358955,150.27943,-33.557106,-5.462659,-13.260071,4.244934,-14.358084,251.61807,-66.16345,-29.15617,-31.356583,87.26682,90.267494,51.460762,-9.552325,-17.753944,-22.35484,-18.75412,-20.154442,-4.551367,-24.155186,-30.55643,137.67677,-0.95059776,-1.5507228,-25.155396,-1.7508113,-69.76419,114.47222,7.651054,7.6510844,313.11243,-60.162296,-0.950237,-12.752523,-19.75389,-76.565285,-10.352088,47.059193,-169.98427,-46.759342,1.6503882,-98.56985,-174.58527,-104.17093,-219.7945,-185.78755,-129.37605,-109.37196,-193.78918,-140.77835,-65.76316,-231.79695,-238.59833,-237.39809,-236.59793,-237.39809,-239.59854,-237.39809,-228.99637,-234.59752,-237.99821,-230.5967,-174.78508,-208.19218,-206.19179,-235.19765,-180.38625,-207.79205,-230.79675,-229.9966,-217.59409,-225.19562,135.27681,5.451041,344.11923,-30.156239,-76.16524,-9.352191,322.71512,-12.952857,-2.7508543,244.89874,7.6511607,7.4511514,7.651176,7.651176,7.2510934,7.651191,7.451136,7.651191,7.4510446,7.45106
test_returns:CarRacingF1-Malaysia-v0,-48.75983,-129.97624,-120.17428,-135.17728,-130.37628,-120.77439,-121.37451,-51.360435,-111.97262,23.454184,83.458084,72.7563,82.15826,6.0437546,4.3449936,-29.459782,77.65815,-2.2540145,37.056854,227.69508,-130.97644,-134.1771,-133.17688,2.4502077,-132.17668,-113.77299,-116.173485,-135.77739,-131.37653,-127.7758,38.657623,-120.37432,34.85639,-128.17589,174.68456,-39.95826,67.863014,-125.375336,-63.362858,32.655933,36.457253,35.456974,-120.97434,52.860638,42.458447,-40.558037,35.0571,26.455282,38.257687,24.25471,-229.99658,-189.78838,29.455648,-130.97635,-120.974365,-138.97801,35.857082,32.456425,-146.17947,-129.176,-233.5973,-218.79428,-222.39503,-230.39668,-234.9976,-221.39484,-230.79675,-224.39542,-235.39767,-233.99739,-223.59528,-216.99393,-233.79733,-223.79529,-229.19646,-211.39276,-221.39482,-208.99231,-217.5941,-185.98737,314.5134,245.69894,221.89404,341.51907,223.69516,359.722,93.868256,279.70618,65.86279,257.3013,-124.77517,232.69759,233.09755,232.29767,232.4976,227.49637,232.69762,232.09735,232.69753,232.89754
test_returns:CarRacingF1-Netherlands-v0,8.841426,14.442587,13.642404,5.8408422,115.062546,14.442541,-125.58527,4.240567,58.451214,15.242724,55.450264,50.05018,48.65046,90.46731,81.465576,74.76694,50.84972,51.349804,136.86699,141.46793,422.12585,90.65764,31.245892,-91.57833,54.650436,46.44886,110.861755,69.053345,61.651836,52.450054,117.0629,380.5171,-20.364317,127.665085,260.89355,47.849033,243.88907,117.86304,62.451973,-39.167995,-42.96318,-64.561775,-17.963663,178.87592,30.44593,52.05038,71.05409,-43.16857,36.447124,138.26764,44.84857,-30.566164,32.446182,50.649784,-2.5606976,49.649513,-113.78288,-184.79738,-118.38381,-106.98149,-179.9964,-179.9964,-179.79636,-179.79636,-179.79636,-179.79636,-179.79636,-179.79636,-179.9964,-179.9964,-135.38718,-158.19196,-167.19383,-149.99028,-157.19177,-147.18976,-121.38427,-128.3857,-175.39548,-180.59653,260.69214,426.52512,403.52054,145.0686,322.30493,274.4956,129.26553,341.30878,451.73007,102.2601,549.1496,505.94077,241.68805,513.1425,568.1532,542.7484,521.5442,503.54047,496.13895,50.649677
test_returns:CarRacingF1-Spain-v0,82.85608,102.059875,151.06967,99.65944,311.30353,67.45285,156.67088,230.28673,147.86911,74.85434,119.475555,145.58801,359.51352,282.89642,194.47902,131.06572,231.4868,179.07613,195.87936,222.28517,94.45834,97.458954,91.4578,115.262665,110.06156,96.4588,140.46782,299.30136,86.456726,252.09181,355.11237,69.45328,-36.36745,21.843937,352.91208,80.055435,346.71115,-48.36984,326.10654,115.06241,159.27177,156.8712,178.47566,-73.77473,166.87338,226.28535,-21.364296,251.6905,-45.969223,197.27951,100.45975,-115.3832,74.25441,53.05027,286.69745,-139.38812,256.09103,-11.762562,-162.7929,-72.57452,-188.3981,-187.99803,-185.59753,-184.59734,-184.19725,-177.5959,-168.99417,-188.19807,-173.19502,-182.99701,-135.18716,-138.78807,-164.59329,-155.59143,-156.59157,-170.59451,-128.38588,-145.78947,-169.99438,-169.39427,-72.7746,109.86159,-167.39383,363.5134,372.3151,537.5472,525.94476,565.5528,524.9444,537.94727,569.9538,564.75275,542.94806,531.54584,555.7508,578.7556,551.75,573.1544,557.15125,527.94556
test_returns:CarRacingF1-France-v0,-149.59018,-149.39014,-148.38994,-150.79042,-149.39014,-150.39034,-139.78818,-154.19112,-150.79042,-148.1899,-105.18873,-109.08885,-131.58856,-134.18857,-136.78873,-137.28868,-139.6888,-140.48875,-133.08856,-115.088615,-143.38892,-99.980034,-141.58855,-17.16355,-139.38809,-3.7609127,-71.574234,-61.972298,28.24538,-141.3885,-137.58772,-131.98659,20.24368,-133.18683,204.08174,-61.37232,-132.78674,-138.58794,200.68094,199.28053,73.25461,-145.1893,127.66547,69.45355,-118.58401,-146.98967,41.848167,-90.57815,47.449207,-150.19032,-142.7888,-144.7892,-154.39117,-142.7888,-159.19215,-144.98924,-142.18867,-131.98659,-150.5904,-141.98863,-173.39505,-172.39485,-176.39566,-172.59488,-175.99557,-170.39444,-167.1938,-156.19153,-176.99579,-174.39525,-169.1942,-149.39018,-161.1926,-145.58942,-174.99538,-167.99397,-167.39383,-163.59308,-140.78842,-143.78905,-119.38401,-132.38666,234.68697,355.91202,-112.78266,19.043812,-127.78572,-131.98657,49.84998,-125.1852,-31.566465,207.68202,-125.78531,274.89523,-125.78532,204.28108,-125.38524,319.3049,264.29257,-123.58486
