metric,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
test_returns:CarRacingF1-Belgium-v0,411.31235,418.714,417.91403,472.52448,486.92755,504.73105,416.71356,460.92236,412.31287,503.3307,543.3386,572.5443,569.3439,571.1441,558.7418,539.93805,560.14185,539.73785,549.54016,547.73956,574.94495,575.54486,582.9466,579.94586,383.90732,585.1469,585.1469,537.73755,532.33655,404.91144,645.9592,414.1132,643.95886,600.55005,601.3504,626.7554,659.16156,661.3623,638.1579,621.3544,290.60516,294.00677,288.50607,294.20715,291.30667,276.70468,380.3069,345.69934,420.3145,364.70386,593.5486,551.9404,596.74976,575.7452,566.54333,550.94,552.54065,573.1445,578.7459,574.5451,279.2047,131.45595,475.12537,499.5302,520.1341,532.9366,401.11078,405.71176,534.53687,550.14026,604.3509,608.7518,532.1367,580.5461,553.3408,603.35077,596.54974,524.53534,637.15784,368.70462,430.51675,350.50085,384.9077,325.69595,404.71152,358.3024,361.30304,382.90723,431.91702,363.90353,389.708,212.87245,341.4984,342.29837,371.1041,361.3023,187.6673,367.50327,375.7051,194.66884
test_returns:CarRacingF1-Brazil-v0,469.73352,483.13593,480.13535,349.30975,487.5371,476.935,488.7372,480.33554,499.9394,336.50723,610.7618,594.7587,576.35504,599.95984,606.9615,600.7601,599.7597,584.9567,584.95703,593.75854,544.74866,624.76483,546.7493,551.7501,559.752,580.7558,600.9598,583.15643,598.9595,442.7287,256.69278,501.7407,477.13556,514.34326,468.33368,502.74094,504.94135,503.5411,507.34198,519.54425,435.927,413.32227,609.5614,448.72958,596.7588,328.706,423.12433,442.3283,572.754,452.73035,465.13254,312.10324,540.9479,517.1428,447.32922,548.54944,525.54456,531.74585,531.5459,558.95135,531.74585,543.74817,533.1462,380.31616,358.71167,533.9462,516.7427,379.11542,522.34406,530.7454,433.72662,428.52518,436.5271,178.67574,454.53107,178.47578,453.93088,455.13104,408.52155,494.739,505.9415,559.7527,121.26376,298.49948,571.9547,7.641206,532.9474,226.28568,561.35284,448.1305,299.9,164.07246,179.27554,252.49025,165.27277,176.47502,278.49615,307.30164,299.0998,183.27625
test_returns:CarRacingF1-Mexico-v0,786.09973,672.19574,684.3986,673.39606,657.59283,671.99567,676.5959,685.798,655.5924,671.7955,818.00024,816.60016,816.1004,816.70026,813.8002,813.3,813.40045,811.5001,810.4,811.0004,817.0,814.7001,808.29974,792.1005,774.8003,717.70184,693.8007,695.8011,699.6022,699.8017,842.4005,839.4001,838.7,835.49994,834.29974,748.20154,747.1017,697.6015,693.4004,695.00116,683.1979,684.5981,683.9981,688.79913,687.99884,655.39276,621.9862,697.6012,677.39685,628.3875,823.2002,815.39996,814.90015,813.8,781.40063,771.0004,695.0009,694.40027,610.5842,687.5987,811.8,806.89984,805.9996,805.99963,805.799,805.49963,804.6992,218.10602,219.30627,490.9605,828.59973,827.60004,827.70026,825.6006,823.80005,792.8006,749.2006,743.9013,682.9985,694.0007,719.60205,718.4017,650.3916,661.3928,128.2865,630.3886,688.19977,680.5983,659.594,643.791,645.98987,574.37555,669.19464,654.1916,675.39624,674.3963,623.3855,667.5945,629.3864,365.73492
test_returns:CarRacingF1-Australia-v0,742.97815,711.77234,724.97473,753.98065,726.1751,739.5779,708.97186,725.5749,698.3699,717.1732,789.18787,724.57513,760.5819,794.1886,791.7882,779.78613,794.98865,778.5856,776.3853,757.3816,701.1705,702.3702,716.37317,746.37915,745.1789,756.9813,687.3673,772.5844,741.9787,800.5901,810.79236,101.649925,341.0979,757.18134,634.957,815.9932,527.7354,790.58795,112.2521,835.39685,696.36926,737.3773,756.381,764.1827,791.78845,753.5808,741.77814,766.7831,722.17444,776.585,787.18695,790.18835,802.39056,821.39453,445.5199,841.1981,771.18445,791.7886,789.98773,771.9844,632.15643,738.7777,607.1512,735.17676,729.5758,728.5756,727.7754,616.15295,500.3298,715.573,853.99976,833.9971,818.79346,825.3951,827.5954,817.59375,836.1973,823.39484,809.5922,827.1957,565.7435,544.73956,454.32196,753.1811,368.30466,724.1753,744.17896,454.5221,227.07632,810.1924,573.9448,521.7345,566.9434,544.9389,478.32584,536.93744,547.5395,555.7412,487.92764,548.73987
test_returns:CarRacingF1-Austria-v0,610.75226,557.5418,580.74664,598.75006,602.3506,617.35364,594.7491,617.9536,601.55035,607.1517,639.55725,717.9734,684.16675,714.5725,726.17474,730.1759,681.16614,542.7388,693.16864,720.97424,667.5634,674.56494,681.1663,704.17065,681.766,690.5683,696.36914,644.95905,709.77155,680.7661,708.1715,671.9645,767.7835,675.16473,751.98035,492.12894,704.571,499.33023,684.167,319.89496,655.16125,662.16205,672.3643,654.1607,637.95746,663.9626,650.96014,673.5645,611.75256,663.96277,724.7749,699.7696,714.973,656.1612,674.7649,686.7672,693.3684,702.3705,670.3643,693.7685,641.95886,643.7587,641.3585,627.7559,638.558,647.7598,647.1598,640.358,649.76025,654.5613,706.5709,691.968,676.9655,732.3762,643.5589,716.17316,697.3697,684.7666,728.97565,665.7634,695.3694,221.27504,676.56537,675.16534,386.10715,607.5516,682.1667,454.5219,282.6878,131.85597,161.86214,430.7159,301.69073,443.71857,433.11633,426.515,417.9133,373.10428,454.72083,470.7243
test_returns:CarRacingF1-Portugal-v0,622.5741,646.17914,446.53964,626.3754,600.5697,627.9755,630.57605,596.9688,639.77747,663.3825,665.1833,380.92722,657.98236,374.5261,376.12625,653.5811,652.78107,375.1261,667.78357,393.32944,590.968,535.15735,702.19073,676.98535,356.72256,696.3894,693.3885,354.72195,715.7932,375.7262,355.92255,385.52872,373.32596,369.1255,363.72443,378.1269,353.72253,368.52502,382.12793,379.1274,544.15894,376.52615,356.5223,618.9743,423.13504,353.92166,604.3712,331.5169,537.3575,557.3614,367.12445,649.5805,382.9271,397.73032,290.70773,403.73032,402.52994,354.52176,352.72144,371.72485,367.52448,356.9222,555.961,367.9245,372.1252,490.94818,368.5245,635.377,452.7409,355.32193,610.97266,412.53415,429.53656,410.13315,435.53806,357.52264,504.1512,438.9375,397.33044,396.13043,314.31372,515.9544,618.1739,351.12213,690.9885,485.9482,681.78687,671.3848,677.18567,700.1904,248.30093,490.54855,433.3377,466.34375,476.3454,522.35504,450.14084,511.7523,467.5436,470.94415
test_returns:CarRacingF1-Malaysia-v0,234.89783,296.70975,291.5089,234.29768,236.2982,235.89803,288.50882,307.913,292.70938,308.3125,595.3692,548.9595,616.97327,611.1724,614.1726,600.3694,608.3719,585.9672,604.37054,600.37024,386.1274,364.32364,537.9572,357.12204,309.9128,403.33115,387.92828,398.53052,369.92462,424.3355,664.3825,594.9689,640.5781,506.9514,661.3821,437.53696,41.05766,175.48465,474.54562,157.48158,60.15768,161.6979,592.16846,311.91318,429.536,229.0963,159.6818,569.56366,200.48994,280.3063,592.5679,615.1724,605.9709,595.7687,583.16626,602.9702,627.77527,571.3635,586.5671,579.7653,549.55963,562.9622,322.51535,543.1581,319.71466,263.10324,322.31522,348.3206,323.31546,317.51413,361.12253,606.1708,366.72427,633.77655,350.12097,618.17303,433.3373,639.3777,639.5777,597.76935,208.29124,498.94977,273.10477,204.69063,269.30402,107.470894,75.064445,401.53098,533.35675,272.70572,213.69257,233.89722,180.4856,226.29529,226.69519,229.09631,230.09604,121.87391,278.30582,120.0737
test_returns:CarRacingF1-Netherlands-v0,-1.9606258,-5.1612897,65.052765,-1.5605664,518.94336,-1.9606181,-2.360696,-2.7607756,244.6888,69.05356,675.57465,-104.38096,647.169,658.5711,650.76953,640.9677,649.36945,664.7722,646.1688,655.5703,410.12247,546.1492,654.3709,612.1625,424.9255,412.1231,441.12885,591.95825,610.3617,444.92932,666.173,640.1682,397.31998,662.3726,663.1725,680.3759,562.3529,652.5704,664.17285,137.46706,-134.6835,520.94434,599.35913,536.3475,646.3692,374.71484,597.359,657.57117,0.23980446,-3.3609493,358.7121,537.3472,390.51865,494.93866,371.3148,418.1233,372.31488,-101.1803,336.30737,-105.5812,589.1574,456.33096,375.51486,271.29416,574.9546,395.31967,331.90622,572.75446,275.29498,605.56134,689.17755,641.3677,675.7749,697.7788,680.57556,660.97156,681.7762,681.1761,682.77606,611.56256,604.9615,199.88039,614.96356,299.2995,189.07819,601.1606,369.91455,640.76874,465.53412,634.7671,3.8404925,355.31122,1.239996,2.4402347,406.1211,-6.1614547,-23.564825,294.49948,361.71265,346.5094
test_returns:CarRacingF1-Spain-v0,629.56616,633.56696,608.7621,608.1615,637.36774,615.36304,640.36835,619.5639,636.5676,618.9641,759.1922,789.19806,658.17206,718.98395,696.37933,760.7925,757.19135,781.19604,790.1983,736.5874,722.7846,407.92218,662.57324,716.18317,720.58417,712.38257,709.1822,707.98193,728.5859,720.784,805.2998,805.4001,793.99896,654.9713,708.98206,505.94214,639.36835,500.34097,666.17334,473.33557,314.21198,380.71762,413.52402,766.59326,540.749,753.9907,720.58435,411.32364,735.3872,728.9857,675.1744,678.97534,678.37555,691.7785,669.97406,687.57745,659.1716,677.37524,661.37164,658.772,664.3728,660.97253,663.5721,682.1764,671.77466,675.1749,680.77563,658.5717,672.77496,656.37164,474.33597,634.56744,735.9872,755.9913,774.19476,757.59186,712.7826,690.5783,754.99066,750.1899,659.5721,571.75494,558.55273,294.9003,578.5563,501.1411,368.5151,314.3041,519.3447,550.9512,442.32803,156.6711,426.12506,377.7156,489.93777,444.52887,413.1228,339.5076,471.93402,392.91855
test_returns:CarRacingF1-France-v0,497.54034,522.34534,312.70398,500.54083,544.349,508.7428,505.3418,520.9448,507.54248,368.1148,604.36053,612.96246,588.7578,608.3613,531.1463,498.53955,107.26099,607.7614,549.94995,552.35034,791.1983,410.12268,547.5505,496.53937,590.7582,574.5549,791.3982,508.74194,617.9633,404.72165,811.29987,658.57227,776.9958,772.79486,769.3941,491.13916,431.72607,780.5964,757.5915,775.79504,177.78477,176.88533,156.48589,-118.96826,-40.368244,229.88713,333.9079,339.10904,331.7079,338.30917,715.78357,389.5179,735.9874,503.34082,528.74634,720.9841,751.39026,383.71744,393.3193,392.31912,774.5951,376.91583,797.1995,795.39923,379.51633,785.1972,492.33835,792.3988,785.99725,391.5185,110.26155,103.06012,730.1857,109.861465,104.460526,777.1955,767.9939,110.66165,775.59503,89.257355,339.709,314.50406,571.5548,533.94653,664.77313,318.50464,664.7729,309.50153,326.5062,331.1072,380.51587,107.06103,390.31885,299.29962,323.70456,344.1087,93.658325,375.71494,344.5088,498.53955
