metric,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
test_returns:CarRacingF1-Belgium-v0,-5.7713118,118.853386,93.04818,79.0454,-30.176098,5.2308507,46.839016,80.44567,54.84058,109.25141,131.656,477.32547,456.12155,483.92664,453.12073,454.92084,462.12244,465.1229,457.32138,497.92963,398.91037,185.06676,245.27905,391.10837,400.51065,549.5402,516.53406,121.25385,415.7137,408.1124,132.65616,153.46027,129.6556,128.45534,138.65738,139.0575,228.27536,121.45391,154.8606,143.85843,409.5115,406.3111,398.30954,402.1102,395.909,402.71045,410.71213,405.31104,398.5096,408.51154,335.9118,342.41306,317.70825,325.41003,337.0132,401.71112,409.3128,392.10925,410.71313,331.6961,418.31442,620.95447,608.552,423.71518,417.9142,419.7144,619.354,424.71542,416.51407,423.11514,260.8831,619.95404,394.7096,488.1278,502.13077,246.27975,625.55505,417.31393,478.1259,628.7555,218.47374,183.26663,191.0681,199.26973,194.66911,196.06929,180.46605,190.06812,192.06833,195.86914,386.30765,371.30426,373.90506,570.9445,409.11252,382.90726,153.86038,356.90125,401.71127,400.51035
test_returns:CarRacingF1-Brazil-v0,-39.167995,-40.368237,3.4403994,-13.763026,-35.167213,-19.164083,63.65215,-6.561606,-74.77503,-13.162916,181.27615,334.907,293.89908,73.45424,317.50363,474.1346,241.0882,180.07603,460.93204,177.27556,563.95337,542.94934,287.89874,519.9448,505.94162,568.35425,194.87944,190.07823,502.7411,245.49005,182.07678,-42.968742,60.851624,-82.17645,-40.768353,52.650066,173.27487,59.451393,38.44725,-40.56831,369.31415,369.51425,365.9134,377.11575,368.9142,365.9137,359.51233,362.11255,369.5142,371.1144,177.19179,496.9398,472.93484,495.7395,179.27602,308.3029,403.7207,270.69525,467.93393,487.13766,643.56885,472.73456,667.3734,620.9646,600.16003,619.7639,208.88214,646.1698,638.7677,643.9689,174.67493,586.75696,515.5436,284.29803,600.76013,73.25412,471.13443,190.07762,564.55273,444.72937,142.26857,145.8693,60.452007,137.06754,13.04261,133.46674,78.6558,159.27197,145.26913,90.85818,594.9588,553.5515,549.1504,485.73755,566.153,481.93732,538.94824,559.1525,680.57587,663.37225
test_returns:CarRacingF1-Mexico-v0,9.26118,-30.746714,-166.37375,19.063297,-150.1705,-149.77042,-5.54176,-8.742386,46.26881,-7.9422336,780.89966,773.5,769.9998,769.29956,769.2996,434.14874,479.55756,272.31723,226.30737,683.1973,550.97186,657.7935,683.79834,692.0006,646.39136,675.9971,670.59656,619.98627,688.7995,652.993,-161.5728,66.47337,40.46792,-148.57019,67.07338,18.463276,-160.37254,208.104,-13.143202,48.669632,755.70074,754.2006,753.4005,752.69995,751.2005,750.7002,749.8008,749.7008,750.3002,744.9005,834.5,833.5999,794.60065,776.10114,742.0011,737.201,694.0004,686.9992,696.20123,201.30241,829.5002,828.3003,828.20026,828.70026,824.9006,440.7488,752.1011,454.9536,666.3956,699.80237,108.961716,826.6,824.70013,821.99994,818.3004,808.30054,117.67153,-31.146677,73.07475,466.35565,132.88596,261.71222,444.74985,189.49823,291.1182,201.10051,80.07535,449.35068,276.91656,463.55347,739.0015,221.70677,238.91028,664.7951,212.10472,678.39777,222.10695,218.70613,679.1977,662.7948
test_returns:CarRacingF1-Australia-v0,16.633108,101.249794,-21.574387,-41.17828,-25.175133,61.64188,-31.976467,-26.175331,-29.77604,3.830542,513.333,646.9592,615.95294,574.34503,653.7605,633.15643,241.27917,39.637604,611.1522,661.5622,774.58514,797.1895,383.30777,828.5958,471.52536,498.12964,408.71158,408.31265,804.191,405.11075,125.85471,107.25106,403.71164,60.041576,110.45165,110.0516,109.25144,415.91415,424.71597,112.052025,582.1464,582.94666,583.1467,578.74585,573.7448,582.74646,582.54645,579.1459,581.54626,570.7443,821.39435,806.5914,808.7915,816.7929,242.07942,655.9616,832.7964,830.99603,831.7965,843.5986,14.64964,854.6,852.10004,476.326,849.59985,753.1808,843.9986,567.74414,248.481,844.59894,424.91577,771.98474,817.1938,488.92844,422.11545,821.79425,752.78046,806.9913,821.9942,759.38196,105.45086,312.6925,66.042915,246.47928,322.8947,240.07785,83.2464,299.89,272.68454,108.25138,813.793,828.39557,645.55963,667.3638,710.9722,693.36914,456.92224,701.9706,698.57,680.9664
test_returns:CarRacingF1-Austria-v0,79.64547,132.25601,94.64849,61.24181,-71.384224,107.25106,75.44465,235.07758,111.25182,120.653725,301.69128,516.53357,587.5476,555.5413,564.3431,564.94305,561.94257,587.1477,487.92792,593.749,320.4952,456.32193,476.12567,430.11673,476.72617,319.89517,761.9821,430.3167,280.8874,310.49326,292.28973,299.69116,184.06699,98.84936,137.05705,296.09058,98.649345,109.65157,196.26955,-67.983536,462.32236,469.7237,470.32397,462.32227,490.32794,472.52432,466.52307,479.1257,488.12756,473.92465,687.16766,303.49188,463.32318,346.1,302.0915,683.9665,672.9647,694.569,476.72562,723.37427,711.9723,490.52878,738.1778,728.77606,491.92886,784.3871,746.5795,768.98395,488.72818,490.32852,711.9722,124.65453,602.75073,498.13022,280.08707,654.5606,524.1349,77.64512,497.9299,763.38275,267.08334,258.2817,226.4753,183.06645,135.057,232.47668,221.27435,242.07832,231.47621,169.06354,301.0913,473.32523,472.1248,644.95905,706.77136,495.5295,470.92435,592.3485,610.1521,482.727
test_returns:CarRacingF1-Portugal-v0,8.451253,-105.57138,-34.757313,-67.16368,-126.1755,-56.36155,-25.355495,-97.16966,-40.158363,-38.758087,452.94122,479.3461,-58.36192,304.91226,380.7269,561.962,378.72668,364.72415,371.325,374.32553,488.549,384.52652,644.7799,648.1805,406.33142,546.16003,672.78534,505.35208,256.50345,312.51437,-32.356823,-37.557865,-104.57116,7.6510386,5.850678,-45.759457,-3.5511289,8.251152,-48.159927,-99.17008,382.72745,380.92697,380.72696,380.92688,382.12735,381.32712,380.52695,381.5269,381.52713,381.12695,375.92557,356.32306,373.32593,357.72324,365.32495,340.7187,718.5945,384.1282,-25.75555,402.13214,346.9209,264.70258,711.39246,695.78955,699.59015,710.99304,714.7931,668.5839,704.39075,714.39307,730.1963,745.3988,676.38574,727.99567,741.1983,712.1922,732.5965,382.32642,380.92776,381.72763,109.87203,15.653025,-16.95347,219.89409,217.69366,8.251579,20.654016,3.6505876,218.69398,209.29195,703.59106,258.10382,284.10757,288.3074,660.38275,678.9863,533.95795,-23.35505,232.89687,327.71567
test_returns:CarRacingF1-Malaysia-v0,-48.559963,-126.37551,-122.77478,-125.57536,-124.975235,26.454794,-32.556522,-36.757607,16.852942,-52.16067,453.1416,497.15,463.74365,471.74478,163.68257,465.74374,466.944,163.08234,166.28296,164.48267,170.48367,138.87727,52.859962,51.859768,205.89084,314.313,429.93652,553.76044,309.91302,311.312,-120.37431,-133.777,-131.7766,89.46771,-126.17551,-125.77542,-129.17607,-99.370056,-89.76811,-112.57271,354.92126,353.12094,353.52106,371.92477,356.52164,352.3207,357.12177,362.92294,361.12256,370.5245,81.35832,659.38184,658.5818,638.17737,630.7761,416.5337,447.93994,633.5766,596.36926,583.76624,447.33972,462.94272,427.53607,463.94278,463.14285,478.34573,475.5452,469.14404,168.48405,456.3414,-81.97726,-38.26119,-63.460617,426.25336,44.258297,664.9828,303.91208,345.5199,658.9814,32.055916,112.27256,-56.961304,119.673996,105.87128,84.06681,-41.55823,18.253717,-42.358387,67.06345,19.653944,455.1409,323.91595,460.34247,426.53534,472.34488,443.73874,232.69801,231.29655,-33.95697,235.89763
test_returns:CarRacingF1-Netherlands-v0,-43.368847,-97.179504,-102.38057,-53.970917,-18.764013,-46.969547,-47.169598,35.44664,68.453094,-18.964071,-98.17971,348.7104,-2.3607266,504.74033,-14.163066,512.9419,556.351,543.54803,320.10468,510.34146,326.70682,521.1449,385.31705,180.87573,293.7003,296.50085,152.07028,547.3505,667.77356,608.76196,405.72235,-104.38098,-99.379974,237.68901,-99.179924,-102.380554,-96.17932,-104.98107,-100.98025,119.86348,370.11423,395.1191,383.71667,373.3151,394.5191,391.71832,383.91684,369.31424,390.51828,380.7165,669.17365,613.96326,658.5715,650.9702,623.76447,659.17194,661.17224,652.5703,563.1535,606.9617,454.93185,519.5439,513.1426,620.1643,513.7433,528.14606,656.17126,527.5462,528.946,339.1088,237.68721,673.9747,677.3753,609.96173,429.1264,620.96405,678.1756,239.6892,266.89478,568.35406,112.6625,122.46449,182.87674,207.08159,93.85859,211.6825,106.06127,197.47963,10.24206,191.87851,569.55414,543.1493,382.51645,176.07492,538.1484,318.70468,566.9541,658.572,1.2399769,311.90378
test_returns:CarRacingF1-Spain-v0,87.05687,110.261536,258.69345,45.648617,59.4513,44.048344,86.056656,66.45274,38.447235,84.65636,447.33017,619.76416,351.91165,594.9587,612.36273,416.9244,624.7652,648.97,661.37225,416.92438,521.34515,484.93826,374.51642,506.9422,598.1603,431.9276,616.5639,468.73523,725.18536,368.11496,148.86984,105.86064,277.29724,272.29617,81.05563,-59.772015,279.4977,279.09738,80.65558,100.85956,488.9371,507.7408,491.1377,496.53873,502.94016,494.93842,489.93735,490.73752,502.7399,490.53748,725.7849,479.33713,764.9933,293.49997,766.9934,750.7899,787.7972,281.09793,657.77185,296.50067,724.1852,775.195,670.3745,663.3732,791.398,756.19183,660.3727,759.79193,660.3724,702.5807,65.06119,666.3737,414.92438,411.32306,287.49875,411.9234,667.7739,472.33582,472.93588,732.9866,238.68791,127.06532,226.0853,230.88643,239.48795,164.67302,226.28525,126.26517,106.86111,93.65848,699.5805,652.37134,388.51938,764.9931,765.9938,749.3901,488.13925,473.33618,288.49933,767.1934
test_returns:CarRacingF1-France-v0,-89.17792,-61.172276,-68.97388,-22.364721,-96.779434,-127.78573,191.8788,-99.98006,-126.38544,-128.98596,723.1852,272.296,465.13293,328.90652,67.85326,684.37695,724.785,278.6973,512.34357,709.78235,676.7757,547.95026,666.3738,416.12292,604.56146,141.26796,685.5774,488.53796,639.76855,570.3545,-125.98538,-126.785515,-127.185616,-58.17158,-144.38913,-129.98618,-55.77108,-126.58549,-145.18929,-146.38953,516.3431,523.1443,523.1444,524.54456,521.144,521.34393,526.94507,521.944,505.14072,523.7444,682.17633,347.71017,103.660225,629.7655,-39.168003,610.5618,598.75946,687.5774,338.30814,718.18353,596.1596,330.50684,621.3643,752.59045,732.386,685.9771,609.1621,579.9562,600.1603,769.1937,23.86076,16.161251,-100.98031,363.51242,595.5591,722.5843,382.31616,111.66185,522.94434,650.9699,2.6404996,-140.18828,-36.367203,-94.17899,-143.18889,-135.18724,-140.98843,96.859055,-135.18724,97.259384,303.50073,-36.56749,-30.16625,-36.967564,-32.166645,-35.767345,-40.168194,-33.766933,125.86481,476.53513
