metric,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
test_returns:CarRacingF1-Belgium-v0,256.28113,246.87929,249.47977,250.68007,243.07848,262.08237,251.28003,236.47725,244.27875,249.67989,358.90213,304.89206,370.30472,404.91177,423.91553,145.45874,577.14594,346.30008,357.5022,406.71207,52.34684,43.24733,58.64137,164.06248,45.43877,83.84678,165.66286,417.71387,129.05551,408.31223,380.30624,408.712,406.3115,400.9103,359.90225,371.7046,396.50964,386.70764,398.1098,209.4719,291.88818,285.887,287.68744,288.88766,279.88583,268.28357,269.28378,305.89108,297.28937,264.08276,413.71335,386.5081,416.1139,422.51514,401.51105,407.31198,612.55273,285.88696,481.72653,585.9474,582.54663,404.11084,532.33655,406.71225,652.9606,597.94946,408.51218,411.31277,603.55054,644.35913,9.2318535,-127.395676,-126.79555,-128.59592,-127.59572,-128.39587,-126.395485,-126.39548,-72.584564,-126.39547,296.08923,280.0861,219.87395,74.844734,301.49036,264.2828,281.4863,254.68085,285.4871,272.88455,488.1277,416.3135,474.72476,105.85082,520.9343,465.9231,498.5296,476.92526,191.86812,282.68637
test_returns:CarRacingF1-Brazil-v0,186.27751,191.67857,198.47989,183.87701,184.47713,193.07895,191.87866,193.07895,184.0771,191.27853,71.65376,55.050537,175.27538,-20.364317,569.1539,35.646652,68.8533,522.3446,195.47874,370.3145,113.47271,345.10876,479.1357,442.12848,173.67458,-166.7937,181.67628,293.69855,415.32315,342.70905,229.68562,299.90002,325.905,173.47452,231.08592,352.911,201.6801,177.6755,232.2868,341.50812,246.8894,263.89276,270.09412,270.29398,253.6908,279.29596,261.49216,268.0936,256.0912,245.68924,603.16077,570.75385,582.9565,557.75134,554.3506,552.55023,238.88745,535.147,576.95526,595.9591,494.13898,188.87743,559.3527,489.5382,266.6946,183.87646,539.5478,448.9299,489.73898,523.5452,-133.78697,-124.78514,37.447506,-177.99599,-172.79492,-144.1891,-29.965984,-155.19135,-32.966606,-35.767166,144.86876,304.10092,171.8742,176.87523,178.67564,172.07416,180.876,170.67393,80.2558,171.47421,264.09344,517.74286,484.1366,372.71475,361.5122,259.49225,252.09042,291.4983,319.90375,366.31317
test_returns:CarRacingF1-Mexico-v0,556.17145,561.5728,621.5848,198.10048,543.3699,583.7772,588.778,583.5774,588.1782,574.3756,87.47801,185.49913,74.67522,187.49948,4.660321,654.59265,151.09189,223.90758,594.7815,121.285,65.96126,228.29634,206.39754,-57.67938,767.5998,67.4731,-171.37474,515.56433,54.470627,9.26118,153.4042,137.40366,154.40744,161.61021,134.40788,410.54382,667.7944,224.9069,182.49811,685.3979,632.58673,614.7831,638.9882,643.3891,654.39087,629.9863,670.3939,627.78595,637.7874,650.7903,821.10016,796.4004,768.2009,733.8012,730.1012,720.80096,705.20166,489.7605,667.3952,686.9992,731.9015,714.502,-15.343648,659.3935,663.99445,687.19934,687.1996,694.4005,331.52917,645.19116,-170.57445,-86.35725,-80.3561,23.464603,-69.953964,126.88543,-196.7798,-179.37627,-228.38626,-16.743324,704.7,702.0003,353.9323,270.71594,562.17236,59.471294,680.19696,244.11086,400.7416,687.3982,796.3997,458.9535,688.1984,113.28209,699.40106,533.36774,699.60126,693.9998,699.80084,699.60095
test_returns:CarRacingF1-Australia-v0,358.90158,374.3045,380.3059,386.10678,338.09763,389.7078,341.69812,374.1046,366.30313,338.29755,432.71774,753.18066,418.71466,776.9856,792.98895,793.389,822.9947,788.7881,438.9188,86.2468,-40.777348,-63.779125,60.349247,63.05005,-60.079044,-41.260643,-138.07886,-49.17983,137.25717,709.97217,598.14954,513.13257,455.5213,576.74524,600.1501,585.747,627.9552,579.1461,420.7147,573.5446,419.51358,388.5075,427.91528,395.30875,405.31067,394.50867,395.30893,430.31586,407.3113,384.1068,851.2998,294.2885,429.11682,328.49542,766.1829,657.56146,728.3755,723.7743,800.19006,815.99316,839.5978,658.3618,728.3758,842.5986,292.28955,771.98486,806.5916,258.08258,587.9479,757.58154,82.84658,27.835539,86.047226,-35.5771,71.84439,53.440594,75.64515,-3.5707517,16.233294,25.835165,262.2829,370.50443,120.853905,136.25705,431.11633,379.30582,449.1198,130.45583,105.4508,408.51184,577.94543,712.1722,657.7615,659.76196,581.14606,405.51138,678.56537,573.7448,433.11682,47.439175
test_returns:CarRacingF1-Austria-v0,305.49106,322.29413,332.69635,313.2925,317.89346,330.69586,312.49228,328.49548,314.2925,320.89423,319.2952,462.52286,476.5257,311.8936,330.89737,458.1219,203.87123,617.5539,477.5263,323.29578,164.46255,250.8811,227.67523,380.3069,458.72186,589.7478,639.9578,627.9556,166.06294,551.34033,-177.88916,277.4864,303.09134,305.4918,283.6874,334.8977,548.7397,488.92798,468.3239,464.72345,347.29956,322.09473,329.09595,327.89572,334.69684,347.8996,335.0971,332.49652,338.29773,335.09695,301.49127,470.12445,490.72867,489.92862,296.29034,473.3253,683.9669,296.69037,628.3559,480.12634,622.9546,500.33047,719.17334,489.7283,579.34576,476.1256,332.4973,497.72968,511.9327,648.75977,-109.79211,-42.37844,-40.578068,-117.99376,-110.99234,-122.194626,82.446495,-98.98989,-115.993355,47.03944,307.29147,307.69162,318.89383,351.70035,306.0913,322.6945,333.89658,43.23869,322.49457,312.0924,467.72406,582.14655,500.33072,422.3152,491.7288,623.35474,223.2744,175.06468,392.50912,473.52505
test_returns:CarRacingF1-Portugal-v0,288.30792,287.30795,286.3076,260.70258,3.2504365,284.5075,276.50574,285.7074,287.10773,274.70523,255.70242,378.7272,340.92023,357.32162,342.72046,104.67072,-35.357407,-21.7547,353.5229,-20.554478,-34.16523,128.88641,34.456512,369.32486,336.91714,-18.554016,11.6518755,18.65336,8.251205,-98.96998,377.52637,238.09734,373.7245,355.1222,371.12488,264.9041,361.32196,376.32587,370.725,250.70119,339.51828,315.9133,328.3161,332.51694,341.91885,338.9183,321.51462,311.7128,330.11655,306.31152,332.31787,568.9638,475.94614,478.14548,622.57434,611.9724,696.7898,471.54407,378.727,699.98975,366.3231,324.91568,369.52444,428.33527,485.94733,449.93994,262.1045,654.1814,273.7043,650.1809,-65.76314,-206.39177,-44.55888,-190.98863,-169.58426,-71.76434,-221.7949,-176.98573,-155.18134,-143.57895,269.504,283.9072,279.9064,236.09743,276.1055,276.7057,276.7054,289.3081,284.30695,283.10672,370.12476,370.92493,443.539,244.69879,473.34454,180.486,473.7446,362.9233,361.92303,388.7285
test_returns:CarRacingF1-Malaysia-v0,217.69397,208.49191,218.49413,203.69116,207.29175,215.49348,204.69127,210.09232,201.29054,202.09077,142.87804,53.660168,138.27711,75.66457,142.47803,276.1063,345.5199,40.8576,310.7138,112.87209,131.38094,194.2887,324.11523,272.30542,218.09407,223.09532,79.26553,-19.154102,142.67807,-27.955814,149.2796,10.651999,81.66611,36.257057,86.46713,235.6981,305.91205,226.49586,232.09723,223.09444,260.70255,237.89795,246.29964,255.50133,250.10039,237.8979,218.89417,232.49677,245.89943,255.50136,372.52518,341.31897,400.72974,225.09538,381.52658,346.92007,202.29088,164.88324,567.76337,523.5544,170.48392,52.659985,134.67636,673.7846,118.67321,92.868,639.9777,357.52136,-78.96591,533.7559,-34.55689,-220.99474,-81.56637,-146.37953,-61.162235,-119.974014,-210.59258,-54.760975,-170.18452,-167.98395,255.90134,44.45861,267.9036,206.29112,250.10008,276.30533,258.10165,269.90387,165.2828,159.68163,345.92035,436.7379,504.1511,123.474236,400.53082,511.35278,474.94547,228.49594,316.7145,241.29927
test_returns:CarRacingF1-Netherlands-v0,226.08551,272.49463,258.89188,255.49115,267.69363,231.48668,245.0892,224.48497,246.0896,276.4955,177.87585,584.1572,570.9548,241.48967,621.7644,328.50613,421.72482,632.5671,340.90927,414.9241,-7.762805,153.28194,117.063126,53.050163,572.35443,43.648388,182.27618,64.65277,217.88373,541.5479,519.7438,340.70816,431.72644,178.87566,296.09998,350.7103,466.3333,234.08737,190.4779,506.5412,299.6998,305.90134,294.89917,301.9005,289.69812,293.49887,297.8996,311.50256,296.69943,281.09628,606.561,472.5353,410.52264,584.75696,613.36285,595.5589,641.96814,510.1425,591.75836,620.96466,531.9467,281.69708,347.3105,190.47781,464.53363,513.14325,549.14984,644.7693,646.3692,599.75964,-103.18075,-117.98376,-150.99048,-165.59346,-11.962392,-122.38467,0.64014065,-122.184616,-105.78129,-16.96341,-12.162545,160.87193,160.47177,164.87265,166.07303,153.87059,328.10574,311.3024,305.90118,295.29898,338.30807,450.12967,242.48808,211.28194,536.9471,546.5489,99.259476,429.32574,547.9491,542.348
test_returns:CarRacingF1-Spain-v0,286.4973,275.49515,266.29315,271.49435,263.69272,293.0987,278.49576,267.0934,271.09433,278.09564,82.0558,722.985,261.89398,338.50906,527.14624,444.52988,296.3008,373.51593,179.87604,365.91415,-48.565838,78.06116,-35.767323,123.46455,504.34064,674.37494,414.32324,283.69705,233.2877,660.9724,27.760395,343.7094,372.5152,632.5669,431.52722,79.255356,189.67749,425.52567,527.7455,364.9137,349.51007,319.30402,365.5132,369.9137,360.91257,345.90918,356.91153,343.9088,371.515,369.31396,719.5839,423.92584,676.7755,605.7615,664.173,641.1682,395.32025,648.3703,714.7828,720.58386,353.11224,453.9319,719.9841,685.5774,717.58356,719.7845,641.96875,364.9143,80.455505,645.7693,-66.17322,-168.39403,-125.78536,-129.98622,-151.99069,-85.977234,-98.77984,-16.563324,-98.77984,12.042413,358.5118,343.7089,273.89462,374.31497,383.71677,364.71332,368.3139,371.91483,365.3135,372.71448,365.91412,373.9153,365.71414,453.93137,638.36743,611.56226,627.9655,643.1688,654.9704,659.1718
test_returns:CarRacingF1-France-v0,367.51334,392.7187,-153.591,408.3218,421.12405,269.29388,218.08337,212.48236,223.28438,301.30023,-23.164904,-28.365911,334.70816,-28.966036,-25.96544,84.65637,326.90668,-14.963295,-33.366882,-26.96562,106.357285,21.240366,-132.28976,366.12656,235.80217,259.89334,362.3123,132.26607,-151.99068,-127.785736,-41.567257,-58.267998,-59.16675,-74.96837,-110.86712,327.70578,372.9144,88.05728,138.46764,573.355,428.92532,459.9316,426.72516,457.33102,434.72662,435.32657,467.33307,389.9178,460.93195,445.72894,460.5329,644.969,668.3734,449.7302,544.1488,626.1651,622.76447,634.367,642.36804,679.1756,421.52512,580.5562,752.3905,566.3538,608.9623,613.7628,404.32053,777.5959,426.72543,535.1472,-154.39117,-144.58919,-140.98846,-94.37898,-113.582855,-152.79085,-141.7886,-157.79187,-125.98537,-77.57553,133.2666,-4.1607623,-144.18907,-143.98904,-140.18826,-143.18887,-144.18909,-144.18907,-141.3885,-4.561031,545.5502,579.756,105.66066,548.15063,458.13162,241.48814,568.5548,761.19244,766.99365,96.85887
