metric,0,1,2,3,4,5,6,7,8,9
solved_rate:MultiGrid-SixteenRooms-v0,0.93,0.71,1.0,0.64,0.96,0.97,0.48,1.0,1.0,1.0
test_returns:MultiGrid-SixteenRooms-v0,0.78273994,0.29036,0.68364006,0.45196003,0.71966004,0.51548,0.31738,0.7455801,0.90466005,0.81920004
solved_rate:MultiGrid-Labyrinth-v0,0.0,0.0,0.0,0.1,0.01,0.0,0.0,0.4,0.17,0.0
test_returns:MultiGrid-Labyrinth-v0,0.0,0.0,0.0,0.071040004,0.0069199996,0.0,0.0,0.28736,0.08264,0.0
solved_rate:MultiGrid-Labyrinth2-v0,0.36,0.0,0.39,0.09,0.0,0.0,0.33,0.47,0.09,0.0
test_returns:MultiGrid-Labyrinth2-v0,0.08712,0.0,0.27468002,0.052020002,0.0,0.0,0.18567999,0.33486003,0.0685,0.0
solved_rate:MultiGrid-Maze-v0,0.0,0.0,0.05,0.0,0.0,0.98,0.0,0.02,0.91,0.0
test_returns:MultiGrid-Maze-v0,0.0,0.0,0.03088,0.0,0.0,0.35768002,0.0,0.0057,0.54837996,0.0
solved_rate:MultiGrid-Maze2-v0,0.0,0.0,0.0,0.03,0.0,0.16,0.0,0.89,0.03,0.0
test_returns:MultiGrid-Maze2-v0,0.0,0.0,0.0,0.01196,0.0,0.08148,0.0,0.68170005,0.0148599995,0.0
solved_rate:MiniGrid-SimpleCrossingS11N5-v0,0.48,0.34,0.72,0.86,0.69,0.69,0.46,0.74,0.84,0.64
test_returns:MiniGrid-SimpleCrossingS11N5-v0,0.41067767,0.23967975,0.58267564,0.75676036,0.609186,0.5229979,0.3984132,0.6489587,0.7322789,0.49276447
solved_rate:MultiGrid-SmallCorridor-v0,0.2,0.12,1.0,0.84,1.0,0.66,0.52,0.69,0.18,0.87
test_returns:MultiGrid-SmallCorridor-v0,0.17300001,0.10268,0.88745993,0.64515996,0.7824199,0.48554,0.43104,0.62426,0.14436,0.75181997
