metric,0,1,2,3,4,5,6,7,8,9
solved_rate:MultiGrid-SixteenRooms-v0,1.0,1.0,1.0,1.0,0.63,1.0,1.0,0.76,0.68,0.96
test_returns:MultiGrid-SixteenRooms-v0,0.7888,0.85444,0.89490014,0.7704,0.51268,0.82702005,0.59608,0.49655998,0.50803995,0.7313799
solved_rate:MultiGrid-Labyrinth-v0,0.0,0.0,0.83,0.0,0.0,0.0,0.91,0.07,0.02,0.0
test_returns:MultiGrid-Labyrinth-v0,0.0,0.0,0.58166003,0.0,0.0,0.0,0.46020004,0.026400002,0.012200001,0.0
solved_rate:MultiGrid-Labyrinth2-v0,0.0,0.12,0.93,0.0,0.0,0.0,0.85,0.13,0.01,0.0
test_returns:MultiGrid-Labyrinth2-v0,0.0,0.036960002,0.64634,0.0,0.0,0.0,0.39661995,0.05292,0.00396,0.0
solved_rate:MultiGrid-Maze-v0,0.0,0.0,0.03,0.0,0.0,0.18,0.0,0.11,0.0,0.04
test_returns:MultiGrid-Maze-v0,0.0,0.0,0.0093,0.0,0.0,0.055740003,0.0,0.034459997,0.0,0.02428
solved_rate:MultiGrid-Maze2-v0,0.03,0.0,0.15,0.0,0.01,0.03,0.08,0.01,0.0,0.15
test_returns:MultiGrid-Maze2-v0,0.011539999,0.0,0.10204001,0.0,0.00374,0.010880001,0.02702,0.0076200003,0.0,0.06036
solved_rate:MiniGrid-SimpleCrossingS11N5-v0,0.59,0.42,0.72,0.52,0.8,0.97,1.0,1.0,0.96,1.0
test_returns:MiniGrid-SimpleCrossingS11N5-v0,0.4285207,0.31168386,0.5648616,0.40405992,0.58184296,0.79820037,0.8436529,0.8716013,0.82211787,0.88922936
solved_rate:MultiGrid-SmallCorridor-v0,0.81,0.83,1.0,0.84,0.2,0.86,1.0,0.85,1.0,0.85
test_returns:MultiGrid-SmallCorridor-v0,0.68797994,0.71558005,0.91577995,0.62596,0.17307998,0.62764,0.8631801,0.62966,0.86121994,0.71713996
