metric,0,1,2,3,4,5,6,7,8,9
solved_rate:MultiGrid-SixteenRooms-v0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.58,1.0
test_returns:MultiGrid-SixteenRooms-v0,0.65236,0.6778,0.75428003,0.81750005,0.8544799,0.82763994,0.87648004,0.85136,0.29350004,0.84032
solved_rate:MultiGrid-Labyrinth-v0,0.02,0.01,0.02,0.11,0.99,0.02,1.0,0.26,1.0,0.0
test_returns:MultiGrid-Labyrinth-v0,0.00634,0.00132,0.00472,0.044040002,0.63026,0.0104,0.76802003,0.07882,0.70636004,0.0
solved_rate:MultiGrid-Labyrinth2-v0,0.89,0.0,0.14,0.34,0.34,0.01,1.0,0.0,1.0,0.0
test_returns:MultiGrid-Labyrinth2-v0,0.54218,0.0,0.03818,0.13768001,0.14704,0.0014599999,0.77208024,0.0,0.6698401,0.0
solved_rate:MultiGrid-Maze-v0,0.0,0.0,0.04,0.0,0.96,0.11,0.69,0.01,1.0,0.0
test_returns:MultiGrid-Maze-v0,0.0,0.0,0.03466,0.0,0.52853996,0.041639995,0.37323996,0.00332,0.82722,0.0
solved_rate:MultiGrid-Maze2-v0,0.0,0.02,1.0,0.09,0.3,0.09,0.96,0.01,1.0,0.6
test_returns:MultiGrid-Maze2-v0,0.0,0.0098399995,0.79521996,0.0365,0.1913,0.03512,0.72,0.00778,0.78444,0.31026
solved_rate:MiniGrid-SimpleCrossingS11N5-v0,0.92,0.88,1.0,0.76,1.0,1.0,1.0,1.0,1.0,1.0
test_returns:MiniGrid-SimpleCrossingS11N5-v0,0.7189132,0.73996073,0.9198368,0.62862605,0.91942763,0.8951612,0.939436,0.8705227,0.88904345,0.8384277
solved_rate:MultiGrid-SmallCorridor-v0,1.0,0.64,0.74,1.0,0.51,0.61,0.88,1.0,1.0,0.8
test_returns:MultiGrid-SmallCorridor-v0,0.80814004,0.39219996,0.6682401,0.876,0.41127998,0.4376,0.69238013,0.87778,0.8378999,0.5855
