metric,0,1,2,3,4,5,6,7,8,9
solved_rate:MultiGrid-SixteenRooms-v0,0.43,1.0,0.57,0.34,1.0,1.0,1.0,1.0,1.0,1.0
test_returns:MultiGrid-SixteenRooms-v0,0.21978001,0.8455599,0.32598004,0.15996,0.81658,0.80918,0.7965,0.77514,0.82326007,0.74338007
solved_rate:MultiGrid-Labyrinth-v0,0.05,1.0,1.0,0.0,0.71,0.66,0.03,0.05,1.0,0.88
test_returns:MultiGrid-Labyrinth-v0,0.0218,0.7707802,0.73458016,0.0,0.45602,0.44674,0.01418,0.01824,0.6906198,0.48802006
solved_rate:MultiGrid-Labyrinth2-v0,0.07,1.0,1.0,0.0,0.96,0.76,0.01,0.94,0.24,0.92
test_returns:MultiGrid-Labyrinth2-v0,0.03398,0.7730201,0.7678801,0.0,0.6330199,0.33346003,0.00148,0.43742,0.12969999,0.54223996
solved_rate:MultiGrid-Maze-v0,0.0,0.51,0.99,0.04,1.0,1.0,0.21,0.98,0.49,0.7
test_returns:MultiGrid-Maze-v0,0.0,0.20743999,0.69068,0.013799999,0.7936001,0.7717599,0.07298,0.61888003,0.27678,0.24438
solved_rate:MultiGrid-Maze2-v0,0.0,1.0,0.91,0.0,0.98,0.11,0.0,0.18,0.61,0.04
test_returns:MultiGrid-Maze2-v0,0.0,0.70133996,0.6337,0.0,0.58564,0.054919995,0.0,0.084120005,0.31083998,0.02234
solved_rate:MiniGrid-SimpleCrossingS11N5-v0,0.79,1.0,1.0,0.89,1.0,1.0,0.88,1.0,0.85,1.0
test_returns:MiniGrid-SimpleCrossingS11N5-v0,0.67008054,0.94189054,0.9193718,0.68511987,0.94719017,0.8799133,0.6726652,0.887407,0.6280682,0.8372376
solved_rate:MultiGrid-SmallCorridor-v0,0.83,0.75,1.0,0.83,0.93,0.87,0.83,0.9,0.73,0.92
test_returns:MultiGrid-SmallCorridor-v0,0.65752,0.65498,0.81216,0.66478,0.70294005,0.60718,0.6843,0.78699994,0.48972005,0.63695997
