metric,0,1,2,3,4,5,6,7,8,9
solved_rate:MultiGrid-SixteenRooms-v0,1.0,1.0,0.37,0.27,0.27,0.76,1.0,0.15,0.89,1.0
test_returns:MultiGrid-SixteenRooms-v0,0.77718,0.87579995,0.2224,0.16652,0.107980005,0.6391599,0.85656005,0.07056,0.60991997,0.72700006
solved_rate:MultiGrid-Labyrinth-v0,0.95,0.99,0.0,0.0,0.01,0.0,0.07,0.0,1.0,0.01
test_returns:MultiGrid-Labyrinth-v0,0.59088004,0.64865994,0.0,0.0,0.0029199999,0.0,0.015539999,0.0,0.69691986,0.0013400001
solved_rate:MultiGrid-Labyrinth2-v0,0.94,0.0,0.0,0.0,1.0,0.29,0.07,0.0,0.17,0.0
test_returns:MultiGrid-Labyrinth2-v0,0.58144003,0.0,0.0,0.0,0.7162201,0.13968,0.01374,0.0,0.06666,0.0
solved_rate:MultiGrid-Maze-v0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_returns:MultiGrid-Maze-v0,0.0,0.02476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solved_rate:MultiGrid-Maze2-v0,0.0,0.0,0.0,0.0,0.02,0.99,0.0,0.0,0.0,0.0
test_returns:MultiGrid-Maze2-v0,0.0,0.0,0.0,0.0,0.01076,0.6549001,0.0,0.0,0.0,0.0
solved_rate:MiniGrid-SimpleCrossingS11N5-v0,0.12,0.1,0.27,0.37,0.83,0.1,0.51,0.42,0.21,0.36
test_returns:MiniGrid-SimpleCrossingS11N5-v0,0.10741115,0.064334705,0.21858472,0.33240086,0.72878724,0.074952476,0.44002685,0.33834922,0.16704544,0.31994626
solved_rate:MultiGrid-SmallCorridor-v0,0.88,0.47,0.47,0.81,0.88,0.83,0.41,0.19,0.83,0.77
test_returns:MultiGrid-SmallCorridor-v0,0.61131996,0.36329997,0.41951996,0.70201993,0.6889,0.5265,0.24877998,0.15,0.5641,0.59584004
