metric,0,1,2,3,4
solved_rate:MultiGrid-SixteenRooms-v0,1.0,1.0,1.0,1.0,1.0
test_returns:MultiGrid-SixteenRooms-v0,0.86827993,0.86464,0.82874006,0.88588005,0.7943401
solved_rate:MultiGrid-SixteenRoomsFewerDoors-v0,0.73,0.94,1.0,1.0,1.0
test_returns:MultiGrid-SixteenRoomsFewerDoors-v0,0.50298,0.57566005,0.8550399,0.85074013,0.80939996
solved_rate:MultiGrid-Labyrinth-v0,0.43,1.0,1.0,1.0,0.27
test_returns:MultiGrid-Labyrinth-v0,0.19950001,0.7730002,0.70814,0.7730002,0.15266
solved_rate:MultiGrid-Labyrinth2-v0,1.0,1.0,1.0,1.0,0.23
test_returns:MultiGrid-Labyrinth2-v0,0.62496006,0.75428003,0.7303401,0.75521994,0.1427
solved_rate:MultiGrid-Maze-v0,1.0,0.95,0.0,0.95,1.0
test_returns:MultiGrid-Maze-v0,0.71842,0.53834003,0.0,0.6072,0.7473201
solved_rate:MultiGrid-Maze2-v0,1.0,1.0,0.99,1.0,1.0
test_returns:MultiGrid-Maze2-v0,0.6848201,0.70493996,0.59104,0.75666,0.7394801
solved_rate:MultiGrid-Maze3-v0,0.97,0.98,0.66,0.59,1.0
test_returns:MultiGrid-Maze3-v0,0.62479997,0.60631996,0.27352,0.37464002,0.75911987
solved_rate:MiniGrid-SimpleCrossingS11N5-v0,1.0,1.0,0.37,1.0,0.58
test_returns:MiniGrid-SimpleCrossingS11N5-v0,0.8575992,0.9082149,0.2533533,0.93034303,0.50515497
solved_rate:MiniGrid-FourRooms-v0,0.83,0.54,0.67,0.86,0.52
test_returns:MiniGrid-FourRooms-v0,0.58664,0.49248,0.54418,0.69494,0.37942
solved_rate:MultiGrid-SmallCorridor-v0,1.0,1.0,1.0,1.0,0.99
test_returns:MultiGrid-SmallCorridor-v0,0.83669984,0.86304003,0.8824799,0.8096201,0.82091993
solved_rate:MultiGrid-LargeCorridor-v0,1.0,1.0,1.0,1.0,0.93
test_returns:MultiGrid-LargeCorridor-v0,0.8777551,0.825,0.8571428,0.82230616,0.6966939
solved_rate:MultiGrid-PerfectMazeMedium-v0,1.0,1.0,0.73,1.0,0.77
test_returns:MultiGrid-PerfectMazeMedium-v0,0.71926534,0.7711021,0.52084696,0.70634687,0.51656127
